iter	Passed	Remaining
0	14	4214
1	25	3735
2	33	3358
3	43	3220
4	68	4057
5	78	3828
6	88	3709
7	98	3580
8	106	3442
9	116	3365
10	125	3299
11	134	3223
12	142	3156
13	154	3154
14	163	3109
15	173	3081
16	183	3046
17	192	3013
18	203	3006
19	212	2980
20	222	2950
21	230	2916
22	240	2896
23	249	2869
24	257	2835
25	267	2817
26	275	2788
27	286	2778
28	296	2771
29	306	2759
30	318	2765
31	330	2768
32	340	2753
33	350	2740
34	359	2724
35	370	2719
36	380	2705
37	390	2689
38	399	2671
39	407	2650
40	417	2634
41	431	2651
42	445	2659
43	454	2646
44	466	2645
45	477	2638
46	487	2622
47	497	2610
48	505	2589
49	513	2567
50	522	2549
51	531	2532
52	540	2519
53	549	2503
54	559	2494
55	575	2507
56	595	2539
57	611	2553
58	622	2541
59	632	2529
60	643	2522
61	652	2505
62	662	2492
63	672	2480
64	681	2462
65	690	2448
66	699	2431
67	725	2473
68	735	2463
69	746	2451
70	756	2439
71	766	2428
72	777	2416
73	787	2406
74	797	2392
75	807	2380
76	818	2370
77	829	2361
78	840	2350
79	850	2337
80	860	2326
81	870	2314
82	880	2300
83	890	2289
84	900	2277
85	909	2264
86	920	2254
87	930	2241
88	940	2230
89	951	2220
90	961	2209
91	973	2201
92	985	2193
93	1000	2192
94	1012	2185
95	1035	2201
96	1048	2194
97	1075	2217
98	1090	2213
99	1101	2203
100	1112	2192
101	1122	2179
102	1132	2165
103	1140	2150
104	1150	2137
105	1159	2122
106	1170	2110
107	1180	2097
108	1190	2086
109	1200	2073
110	1211	2062
111	1221	2050
112	1231	2037
113	1240	2023
114	1249	2010
115	1258	1995
116	1267	1982
117	1276	1968
118	1286	1957
119	1297	1945
120	1307	1933
121	1317	1921
122	1326	1908
123	1335	1895
124	1345	1883
125	1354	1869
126	1365	1859
127	1374	1847
128	1384	1834
129	1393	1821
130	1401	1808
131	1411	1796
132	1422	1786
133	1433	1776
134	1447	1768
135	1458	1758
136	1469	1747
137	1482	1740
138	1498	1735
139	1511	1727
140	1526	1721
141	1540	1714
142	1552	1705
143	1565	1696
144	1577	1685
145	1587	1674
146	1597	1662
147	1607	1650
148	1618	1639
149	1628	1628
150	1640	1619
151	1651	1607
152	1663	1597
153	1675	1588
154	1686	1577
155	1696	1566
156	1708	1556
157	1717	1543
158	1728	1532
159	1738	1521
160	1748	1509
161	1760	1499
162	1770	1487
163	1779	1475
164	1792	1466
165	1805	1457
166	1817	1447
167	1827	1436
168	1839	1425
169	1849	1414
170	1859	1402
171	1869	1391
172	1879	1379
173	1889	1368
174	1899	1357
175	1909	1345
176	1921	1335
177	1932	1324
178	1944	1314
179	1955	1303
180	1967	1293
181	1978	1282
182	1988	1271
183	2001	1261
184	2011	1250
185	2021	1238
186	2030	1227
187	2041	1216
188	2051	1205
189	2062	1193
190	2071	1181
191	2080	1170
192	2091	1159
193	2103	1149
194	2114	1138
195	2125	1127
196	2135	1116
197	2146	1105
198	2156	1094
199	2167	1083
200	2178	1073
201	2189	1062
202	2199	1050
203	2208	1039
204	2218	1028
205	2231	1018
206	2243	1008
207	2254	997
208	2264	986
209	2275	975
210	2285	964
211	2296	953
212	2305	941
213	2314	929
214	2322	918
215	2333	907
216	2343	896
217	2353	885
218	2363	874
219	2373	863
220	2384	852
221	2394	841
222	2404	830
223	2414	819
224	2425	808
225	2436	797
226	2445	786
227	2456	775
228	2467	764
229	2477	754
230	2487	743
231	2498	732
232	2506	720
233	2519	710
234	2531	700
235	2547	690
236	2563	681
237	2579	672
238	2591	661
239	2606	651
240	2620	641
241	2630	630
242	2639	619
243	2649	608
244	2659	597
245	2670	586
246	2681	575
247	2691	564
248	2702	553
249	2712	542
250	2723	531
251	2735	520
252	2744	509
253	2754	498
254	2764	487
255	2773	476
256	2784	465
257	2795	455
258	2805	444
259	2816	433
260	2827	422
261	2838	411
262	2848	400
263	2858	389
264	2867	378
265	2877	367
266	2886	356
267	2895	345
268	2904	334
269	2913	323
270	2925	313
271	2937	302
272	2951	291
273	2964	281
274	2976	270
275	2990	260
276	3003	249
277	3015	238
278	3028	227
279	3040	217
280	3049	206
281	3060	195
282	3069	184
283	3079	173
284	3088	162
285	3096	151
286	3105	140
287	3113	129
288	3123	118
289	3132	108
290	3141	97
291	3150	86
292	3160	75
293	3170	64
294	3181	53
295	3191	43
296	3201	32
297	3210	21
298	3220	10
299	3230	0
