Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://www.bseindia.com/,GET,BSE India,newsSentimentService.ts:410,,,,urls_directory.csv,UNTESTED,
https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w?pageno=${pg},GET,BSE India / api.bseindia.com,newsSentimentService.ts:401,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds,"urls_directory.csv, existing_sqlite_postgres_db.csv",UNTESTED,
https://www.bseindia.com/corporates/ann.html?newsid=${a.NEWSID},GET,BSE India / bseindia.com,newsSentimentService.ts:451,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds,"urls_directory.csv, existing_sqlite_postgres_db.csv",UNTESTED,
https://economictimes.indiatimes.com/viewandrecofeed.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:924,,,,urls_directory.csv,SUCCESS,https://economictimes.indiatimes.com/viewandrecofeed.cms?feedtype=sjson
https://etmarketsapis.indiatimes.com/ET_Stats/sectorPerformance?exchange=NSE&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:911,,,,urls_directory.csv,SUCCESS,https://etmarketsapis.indiatimes.com/ET_Stats/sectorperformance?pagesize=25&exchange=NSE&pageno=1&marketcap=
https://etmarketsapis.indiatimes.com/ET_TechnicalScreeners/topTrendingScreeners?exchangeId=50&pageNumber=1&pageSize=6&innerPageSize=3,GET,Economic Times / IndiaTimes,marketData.ts:183,,,,urls_directory.csv,SUCCESS,https://etmarketsapis.indiatimes.com/ET_TechnicalScreeners/topTrendingScreeners?exchangeId=50&pageNumber=1&pageSize=6&innerPageSize=3&_=1629471748880
https://json.bselivefeeds.indiatimes.com/ET_Community/companypagedata?companyid=${map.companyid}&companytype=,GET,Economic Times / IndiaTimes,"marketData.ts:23, marketData.ts:72",,,,urls_directory.csv,SUCCESS,https://json.bselivefeeds.indiatimes.com/ET_Community/companypagedata?companyid=8581&companytype=&callback=jQuery111305480691400445188_1617784921724&_=1617784921726
https://marketservices.indiatimes.com/marketservices/shareholding?companyid=${map.companyid},GET,Economic Times / IndiaTimes,marketData.ts:60,,,,urls_directory.csv,SUCCESS,https://marketservices.indiatimes.com/marketservices/shareholding?companyid=11945
https://economictimes.indiatimes.com,GET,Economic Times / IndiaTimes,etnow.ts:101,,,,urls_directory.csv,UNTESTED,
https://economictimes.indiatimes.com/,POST,Economic Times / IndiaTimes,etnow.ts:98,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/${type}?pagesize=25&marketcap=largecap%2Cmidcap%2Csmallcap&duration=${encodeURIComponent(duration)}&sort=intraday&sortby=percentchange&sortorder=desc,GET,Economic Times / IndiaTimes,marketData.ts:238,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/marketBand?exchange=NSE&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:920,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/mostActiveByValue?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:886,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/mostActiveByVolume?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:888,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/pennyStocks?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:890,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/topGainers?exchange=NSE&count=20&flag=1&mktcap=0,GET,Economic Times / IndiaTimes,explore_mc_tl.py:882,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/topLosers?exchange=NSE&count=20&flag=1&mktcap=0,GET,Economic Times / IndiaTimes,explore_mc_tl.py:884,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/trendingStocks?mktcap=0&exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:876,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/weekHigh52?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:878,,,,urls_directory.csv,UNTESTED,
https://etmarketsapis.indiatimes.com/ET_Stats/weekLow52?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:880,,,,urls_directory.csv,UNTESTED,
https://json.bselivefeeds.indiatimes.com/ET_Community/getIndexSummary.cms?indexId={_ET_INDEX_ID},GET,Economic Times / IndiaTimes,explore_mc_tl.py:872,,,,urls_directory.csv,UNTESTED,
https://json.bselivefeeds.indiatimes.com/ET_Community/getcategorylist.cms?flag=industry&eid=12,GET,Economic Times / IndiaTimes,explore_mc_tl.py:868,,,,urls_directory.csv,UNTESTED,
https://json.bselivefeeds.indiatimes.com/ET_Community/getcategorylist.cms?flag=sector,GET,Economic Times / IndiaTimes,explore_mc_tl.py:870,,,,urls_directory.csv,UNTESTED,
https://marketservices.indiatimes.com/markets/api/companydetails/v4/companydetails.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:915,,,,urls_directory.csv,UNTESTED,
