Template URL,HTTP Method,Provider / Domain,Code Sources / References,Target Database Table,Writing Script / Service Handler,Data Domain Category,Source Files,Status,Concrete Working URL
https://economictimes.indiatimes.com/viewandrecofeed.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:924,,,,urls_directory.csv,SUCCESS,https://economictimes.indiatimes.com/viewandrecofeed.cms?feedtype=sjson
https://etmarketsapis.indiatimes.com/ET_Stats/sectorPerformance?exchange=NSE&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:911,,,,urls_directory.csv,SUCCESS,https://etmarketsapis.indiatimes.com/ET_Stats/sectorperformance?pagesize=25&exchange=NSE&pageno=1&marketcap=
https://etmarketsapis.indiatimes.com/ET_TechnicalScreeners/topTrendingScreeners?exchangeId=50&pageNumber=1&pageSize=6&innerPageSize=3,GET,Economic Times / IndiaTimes,marketData.ts:183,,,,urls_directory.csv,SUCCESS,https://etmarketsapis.indiatimes.com/ET_TechnicalScreeners/topTrendingScreeners?exchangeId=50&pageNumber=1&pageSize=6&innerPageSize=3&_=1629471748880
https://json.bselivefeeds.indiatimes.com/ET_Community/companypagedata?companyid=${map.companyid}&companytype=,GET,Economic Times / IndiaTimes,"marketData.ts:23, marketData.ts:72",,,,urls_directory.csv,SUCCESS,https://json.bselivefeeds.indiatimes.com/ET_Community/companypagedata?companyid=8581&companytype=&callback=jQuery111305480691400445188_1617784921724&_=1617784921726
https://marketservices.indiatimes.com/marketservices/shareholding?companyid=${map.companyid},GET,Economic Times / IndiaTimes,marketData.ts:60,,,,urls_directory.csv,SUCCESS,https://marketservices.indiatimes.com/marketservices/shareholding?companyid=11945
https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId=${scId}&type=ed&deviceType=W,GET,MoneyControl,"insightService.ts:136, mcApiService.ts:398",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId=BE03&type=ed&deviceType=W
https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId={sc_id}&type=ed&deviceType=W,GET,MoneyControl,explore_mc_tl.py:389,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId=BE03&type=ed&deviceType=W
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=${scId}&type=c&deviceType=W&appVersion=185,GET,MoneyControl,"insightService.ts:137, mcApiService.ts:463, moneycontrolService.ts:73",,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=BE03&type=c&deviceType=W&appVersion=185
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=${scId}&type=d&deviceType=W&appVersion=185,GET,MoneyControl,mcApiService.ts:491,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=BE03&type=c&deviceType=W&appVersion=185
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId={sc_id}&type=c&deviceType=W&appVersion=185,GET,MoneyControl,explore_mc_tl.py:390,,,,urls_directory.csv,SUCCESS,https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=BE03&type=c&deviceType=W&appVersion=185
