line	original	normalized
1090	https://frapi.marketsmojo.com/market_marketaction/getData?	https://frapi.marketsmojo.com/market_marketaction/getData
1091	https://frapi.marketsmojo.com/market_marketoverview/getData?	https://frapi.marketsmojo.com/market_marketoverview/getData
1099	https://frapi.marketsmojo.com/market_events/getData?	https://frapi.marketsmojo.com/market_events/getData
1361	https:////priceapi.moneycontrol.com//pricefeed//notapplicable//inidicesindia//in%3BNSX	https://priceapi.moneycontrol.com/pricefeed/notapplicable/inidicesindia/in%3BNSX
1362	https:////appfeeds.moneycontrol.com//jsonapi//market//indices&format=json&ind_id=38	https://appfeeds.moneycontrol.com/jsonapi/market/indices&format=json&ind_id=38
1363	https://priceapi.moneycontrol.com//pricefeed//techindicator//W//in%3Bnbx	https://priceapi.moneycontrol.com/pricefeed/techindicator/W/in%3Bnbx
1364	https://priceapi.moneycontrol.com//pricefeed//techindicator//M//in%3Bnbx	https://priceapi.moneycontrol.com/pricefeed/techindicator/M/in%3Bnbx
1365	https://priceapi.moneycontrol.com//pricefeed//techindicator//D//in%3Bnbx	https://priceapi.moneycontrol.com/pricefeed/techindicator/D/in%3Bnbx
1366	https://appfeeds.moneycontrol.com//jsonapi//market//marketmap&format=json&type=0&ind_id=38	https://appfeeds.moneycontrol.com/jsonapi/market/marketmap&format=json&type=0&ind_id=38
1367	https://appfeeds.moneycontrol.com//jsonapi//market//marketmap&format=json&type=1&ind_id=38	https://appfeeds.moneycontrol.com/jsonapi/market/marketmap&format=json&type=1&ind_id=38
1368	https://appfeeds.moneycontrol.com//jsonapi//market//marketmap&format=json&type=2&ind_id=38	https://appfeeds.moneycontrol.com/jsonapi/market/marketmap&format=json&type=2&ind_id=38
1369	https://appfeeds.moneycontrol.com//jsonapi//market//graph&format=json&ind_id=38&range=1d&type=ohlc	https://appfeeds.moneycontrol.com/jsonapi/market/graph&format=json&ind_id=38&range=1d&type=ohlc
1370	https://appfeeds.moneycontrol.com//jsonapi//market//graph&format=json&ind_id=38&range=1d&type=line	https://appfeeds.moneycontrol.com/jsonapi/market/graph&format=json&ind_id=38&range=1d&type=line
1847	https:////priceapi.moneycontrol.com//pricefeed//techindicator//W//BE03	https://priceapi.moneycontrol.com/pricefeed/techindicator/W/BE03
1848	https:////priceapi.moneycontrol.com//pricefeed//techindicator//D//BE03	https://priceapi.moneycontrol.com/pricefeed/techindicator/D/BE03
1849	https:////priceapi.moneycontrol.com//pricefeed//techindicator//M//BE03	https://priceapi.moneycontrol.com/pricefeed/techindicator/M/BE03
1850	https:////api.moneycontrol.com//mcapi//v1//swot//details?scId=BE03&type=all	https://api.moneycontrol.com/mcapi/v1/swot/details?scId=BE03&type=all
1851	https:////api.moneycontrol.com//mcapi//v1//extdata//mc-essentials?scId=BE03&type=all	https://api.moneycontrol.com/mcapi/v1/extdata/mc-essentials?scId=BE03&type=all
1852	https:////api.moneycontrol.com//mcapi//v1//extdata//mc-insights?scId=BE03&type=d	https://api.moneycontrol.com/mcapi/v1/extdata/mc-insights?scId=BE03&type=d
1853	https:////api.moneycontrol.com//mcapi//v1//extdata//mc-insights?scId=BE03&type=c	https://api.moneycontrol.com/mcapi/v1/extdata/mc-insights?scId=BE03&type=c
1854	https:////api.moneycontrol.com//mcapi//v1//extdata//mc-essentials?scId=BE03&type=ed	https://api.moneycontrol.com/mcapi/v1/extdata/mc-essentials?scId=BE03&type=ed
1855	https:////www.moneycontrol.com//mc//widget//mcinsider?sc_did=BE03&sc_id=BE03	https://www.moneycontrol.com/mc/widget/mcinsider?sc_did=BE03&sc_id=BE03
1856	https:////www.moneycontrol.com//mc//widget//mcinsights?sc_did=BE03&sc_id=BE03	https://www.moneycontrol.com/mc/widget/mcinsights?sc_did=BE03&sc_id=BE03
1857	https:////www.moneycontrol.com//mc//widget//mcessentials?sc_did=BE03&sc_id=BE03	https://www.moneycontrol.com/mc/widget/mcessentials?sc_did=BE03&sc_id=BE03
1858	https:////www.moneycontrol.com//mc//widget//swot//swotCount?scDid=BE03&device_type=desktop&scId=BE03&stkname=bharatelectronics	https://www.moneycontrol.com/mc/widget/swot/swotCount?scDid=BE03&device_type=desktop&scId=BE03&stkname=bharatelectronics
1859	https:////api.moneycontrol.com//mcapi//v1//stock//get-stock-price?scIdList=BE03%2CAIE01%2CBHE%2CT%2CGMM01&scId=BE03	https://api.moneycontrol.com/mcapi/v1/stock/get-stock-price?scIdList=BE03%2CAIE01%2CBHE%2CT%2CGMM01&scId=BE03
1891	https://www.moneycontrol.com//mc/widget/mcfinancials/getFinancialData?classic=true&device_type=desktop&referenceId=income&requestType=C&scId=BE03&frequency=12&cagrReq=1	https://www.moneycontrol.com/mc/widget/mcfinancials/getFinancialData?classic=true&device_type=desktop&referenceId=income&requestType=C&scId=BE03&frequency=12&cagrReq=1
1908	https://investsights.in/api/v2/fundamentals/WEBELSOLAR/pros-cons?	https://investsights.in/api/v2/fundamentals/WEBELSOLAR/pros-cons
1909	https://investsights.in/api/v2/fundamentals/WEBELSOLAR/revenue-mix?	https://investsights.in/api/v2/fundamentals/WEBELSOLAR/revenue-mix
1921	https://investsights.in/api/v2/fundamentals/WEBELSOLAR?	https://investsights.in/api/v2/fundamentals/WEBELSOLAR
1925	https://investsights.in/api/v2/stocks/WEBELSOLAR/score?	https://investsights.in/api/v2/stocks/WEBELSOLAR/score
1957	https://investsights.in/api/v2/market/market-risk-premium?	https://investsights.in/api/v2/market/market-risk-premium
