URL,HTTP Method,Target Database Table,Writing Script / Service Handler,Data Domain Category
https://api.moneycontrol.com/mcapi/v1/deals/insight?start=0&limit=${limit}&value=value&range=1W,GET,"bulk_deals, insider_trades","marketIntelService.ts, moneycontrol_fetcher.py",Corporate Block / Insider Deals
https://api.moneycontrol.com/mcapi/v1/deals/list?start=0&limit=${limit}&orderBy=deal_date&sortBy=DESC,GET,"bulk_deals, insider_trades","marketIntelService.ts, moneycontrol_fetcher.py",Corporate Block / Insider Deals
https://api.moneycontrol.com/mcapi/v1/stock/estimates/analyst-rating?deviceType=W&scId={scId}&ex=N,GET,"mc_analyst_ratings, analyst_estimates_history, proprietary_scores_history","moneycontrol_fetcher.py, analyst_estimates_snapshot.py",Corporate SWOT & Analyst Recommendations
https://api.moneycontrol.com/mcapi/v1/stock/estimates/earning-forecast?scId={scId}&ex=N&deviceType=W,GET,"mc_earnings_forecast, analyst_estimates_history, proprietary_scores_history","moneycontrol_fetcher.py, analyst_estimates_snapshot.py",Corporate SWOT & Analyst Recommendations
https://api.moneycontrol.com/mcapi/v1/stock/estimates/hits-misses?deviceType=W&scId={scId}&ex=N,GET,"mc_estimates_hits_misses, proprietary_scores_history",moneycontrol_fetcher.py,Corporate SWOT & Analyst Recommendations
https://api.moneycontrol.com/mcapi/v1/stock/extdata/v2/mc-essentials?scId=${scId}&type=ed&deviceType=W,GET,"mc_general_metrics, proprietary_scores_history",moneycontrol_fetcher.py,Corporate SWOT & Analyst Recommendations
https://api.moneycontrol.com/mcapi/v1/stock/estimates/price-forecast?scId={scId}&ex=N&deviceType=W,GET,"mc_price_forecast, analyst_estimates_history, proprietary_scores_history","moneycontrol_fetcher.py, analyst_estimates_snapshot.py",Corporate SWOT & Analyst Recommendations
https://www.moneycontrol.com/mc/widget/stockscans?classic=true&sc_did={mcsymbol}&sc_id={mcsymbol},GET,"mc_stock_scans, proprietary_scores_history",moneycontrol_fetcher.py,Corporate SWOT & Analyst Recommendations
https://api.moneycontrol.com/mcapi/v1/stock/extdata/v2/mc-insights?scId=${scId}&type=c&deviceType=W,GET,"mc_stock_vitals, proprietary_scores_history",moneycontrol_fetcher.py,Corporate SWOT & Analyst Recommendations
https://www.moneycontrol.com/mc/widget/stockvitals?classic=true&sc_did={mcsymbol}&sc_id={mcsymbol}&slug={slug},GET,"mc_stock_vitals, proprietary_scores_history",moneycontrol_fetcher.py,Corporate SWOT & Analyst Recommendations
https://screener.indiatimes.com/screener/v2/screenerByScreenerIdForWeb,GET,"etnow_screeners, etnow_screener_stocks, screener_master","etnow.ts, etnowScreenerSync.ts",ETNow Screener Sync
https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w?pageno=${pg},GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds
https://api.gdeltproject.org/api/v2/doc/doc?query=${q},GET,"news_articles, news_sentiment_items, market_sentiment_snapshots","gdeltService.ts, newsSentimentService.ts",Exchange Announcements & Feeds
https://www.bseindia.com/corporates/ann.html?newsid=${a.NEWSID},GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds
https://economictimes.indiatimes.com/markets/stocks/rss.cms,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
