sid,name,slug,sector,ticker,marketCap,price,change,turnover
POLI,PB Fintech Ltd,/stocks/pb-fintech-POLI,Online Services,POLICYBZR,Midcap,1591.199951,-5.400000095,36938928128
MCEI,Multi Commodity Exchange of India Ltd,/stocks/multi-commodity-exchange-of-india-MCEI,Stock Exchanges & Ratings,MCX,Midcap,2814,-3.74000001,11170311168
LOD,Lodha Developers Ltd,/stocks/macrotech-developers-LOD,Real Estate,LODHA,Midcap,1057,5.050000191,8205596160
PERS,Persistent Systems Ltd,/stocks/persistent-systems-PERS,Software Services,PERSISTENT,Midcap,4682.700195,2.230000019,7310350336
AEGS,Aegis Logistics Ltd,/stocks/aegis-logistics-AEGS,Oil & Gas - Storage & Transportation,AEGISLOG,Midcap,1325.400024,0.25999999,6033021440
COFO,Coforge Ltd,/stocks/coforge-COFO,IT Services & Consulting,COFORGE,Midcap,1464,1.529999971,5967328256
LAUL,Laurus Labs Ltd,/stocks/laurus-labs-LAUL,Pharmaceuticals,LAURUSLABS,Midcap,1542.300049,0.939999998,5134387712
DIXO,Dixon Technologies (India) Ltd,/stocks/dixon-technologies-india-DIXO,Home Electronics & Appliances,DIXON,Midcap,12456,0.670000017,4323451904
DELH,Delhivery Ltd,/stocks/delhivery-DELH,Logistics,DELHIVERY,Midcap,507.4500122,-0.360000014,4263751680
NALU,National Aluminium Co Ltd,/stocks/national-aluminium-co-NALU,Metals - Aluminium,NATIONALUM,Midcap,347.6000061,4.619999886,4229267456
APAR,Apar Industries Ltd,/stocks/apar-industries-APAR,Electrical Components & Equipments,APARINDS,Midcap,14174,-6.139999866,4171068416
SUZL,Suzlon Energy Ltd,/stocks/suzlon-energy-SUZL,Renewable Energy Equipment & Services,SUZLON,Midcap,56.86999893,-1.389999986,4038009088
LEN,Lenskart Solutions Ltd,/stocks/lenskart-solutions-LEN,Retail - Speciality,LENSKART,Midcap,533,0.49000001,3756373504
INBK,Indusind Bank Ltd,/stocks/indusind-bank-INBK,Private Banks,INDUSINDBK,Midcap,974.3499756,3.269999981,3678616576
ARBN,Aurobindo Pharma Ltd,/stocks/aurobindo-pharma-ARBN,Pharmaceuticals,AUROPHARMA,Midcap,1620.5,3.809999943,3543837184
