name,tlid,symbol,tlname
ZCHANAIN,2098,ZCHANAIN,antariksh-industries-ltd
NEWMKTADV,2371,NEWMKTADV,new-markets-avenue-ltd
MRUTR,2527,MRUTR,mrugesh-trading-ltd
COVIDH,3948,COVIDH,isera-lifesciences-ltd
NOBPOL,4212,NOBPOL,noble-polymers-ltd
CHEMIESYNT,4229,CHEMIESYNT,chemiesynth-vapi-ltd
OSWALEA,4433,OSWALEA,oswal-leasing-ltd
HARIGCRANK,82200,HARIGCRANK,harig-crankshafts-ltd
FRONTLINE,82445,FRONTLINE,frontline-financial-services-ltd
SHENTRACON,82620,SHENTRACON,shentracon-chemicals-ltd
PREMCAPM,82667,PREMCAPM,premium-capital-markets-investments-ltd
BJ,82781,BJ,prabhatam-infra-venture-ltd
PERVASIVE,82787,PERVASIVE,pervasive-commodities-ltd
OLYMPIC,82819,OLYMPIC,olympic-management-financial-services-ltd
505100,83275,505100,india-radiators-ltd
540467,125100,540467,parmeshwari-silk-mills-ltd
LIQUID1,1341540,LIQUID1,kotak-nifty-1d-rate-liquid-etf
HDFCLIQUID,1633725,HDFCLIQUID,hdfc-nifty-1d-rate-liquid-etf-growth
LIQUIDCASE,1880864,LIQUIDCASE,zerodha-nifty-1d-rate-liquid-etf
LIQUIDADD,2185495,LIQUIDADD,dsp-bse-liquid-rate-etf
LIQUIDBETF,2319579,LIQUIDBETF,bajaj-finserv-nifty-1d-rate-liquid-etf-growth
GROWWLIQID,2686491,GROWWLIQID,groww-nifty-1d-rate-liquid-etf
LIQUIDPLUS,2790928,LIQUIDPLUS,mirae-asset-nifty-1d-rate-liquid-etf-growth
AONELIQUID,3048262,AONELIQUID,angel-one-nifty-1d-rate-liquid-etf
LIQGRWBEES,3195988,LIQGRWBEES,nippon-india-nifty-1d-rate-liquid-etf-growth
LIQUIDSHRI,2396087,LIQUIDSHRI,shriram-nifty-1d-rate-liquid-etf
AANCHALISP,4111,AANCHALISP,aanchal-ispat-ltd
BHAGGAS,2029,BHAGGAS,bhagawati-gas-ltd
SOURCEIND,2841,SOURCEIND,source-industries-india-ltd
GBLINFRA,3593,GBLINFRA,global-infratech-finance-ltd
ELIQUID,3290813,ELIQUID,edelweiss-nifty-1d-rate-liquid-etf-growth
RAHME,3727,RAHME,tacent-projects-ltd
CLCIND,1274,CLCIND,clc-industries-ltd
KANELOIL,2053,KANELOIL,kanel-industries-ltd
BARONINF,3819,BARONINF,baron-infotech-ltd
MAHANIN,3609,MAHANIN,mahan-industries-ltd
SBILIQETF,3219939,SBILIQETF,sbi-nifty-1d-rate-liquid-etf-growth
RCIIND,4006,RCIIND,jtl-defence-ltd
GALPOWTEL,2191,GALPOWTEL,galada-power-telecommunications-ltd
ALKA,3417,ALKA,audroc-ltd
TAAZAINT,4009,TAAZAINT,keto-motors-ltd
BIJHANS,4460,BIJHANS,arvaya-healthcare-ltd
PAEL,993,PAEL,aurique-ltd
TMTINDIA,87767,TMTINDIA,tmt-india-ltd
GFSTEELS,82681,GFSTEELS,grand-foundry-ltd
ALCHCORP,3574,ALCHCORP,alchemist-corporation-ltd
SURYAKR,2438,SURYAKR,rajvi-logitrade-ltd
SHAMROCK,82623,SHAMROCK,shamrock-industrial-company-ltd
DOLPHMED,3148,DOLPHMED,dolphin-medical-services-ltd
OMKAR,3602,OMKAR,omkar-overseas-ltd
EUREKAI,2853,EUREKAI,eureka-industries-ltd
SAGRSOY-B,2332,SAGRSOY-B,signature-green-corporation-ltd
ACCORD,87806,ACCORD,accord-synergy-ltd
INDSOYA,2145,INDSOYA,apollo-ingredients-ltd
PMTELELIN,2626,PMTELELIN,p-m-telelinks-ltd
AVONLIFE,3617,AVONLIFE,kobo-biotech-ltd
SANGINITA,87737,SANGINITA,sanginita-chemicals-ltd
SASHWAT,2280,SASHWAT,sashwat-technocrats-ltd
UCL,100681,UCL,ushanti-colour-chem-ltd
PHTRADING,2520,PHTRADING,vega-jewellers-ltd
PHOTON,2394,PHOTON,photon-capital-advisors-ltd
TULASEEBIOE,3034,TULASEEBIOE,tulasee-bio-ethanol-ltd
RBGUPTA,3769,RBGUPTA,aarcon-facilities-ltd
NIYATILEAS,2459,NIYATILEAS,veerhealth-care-ltd
LIPPISYS,3166,LIPPISYS,lippi-systems-ltd
15070582,1616360,15070582,shoora-designs-ltd
SJCORP,2186,SJCORP,sj-corporation-ltd
ZSWASTSA,4410,ZSWASTSA,e-e-enterprises-ltd
HRMNYCP,3247,HRMNYCP,harmony-capital-services-ltd
OSCARGLO,3275,OSCARGLO,oscar-global-ltd
SPANDIAQ,3073,SPANDIAQ,span-divergent-ltd
RUIA,82133,RUIA,datiware-maritime-infra-ltd
HUIL,4739,HUIL,hindusthan-insulators-industries-ltd
SHAHFOOD,2791,SHAHFOOD,shah-foods-ltd
KALYANISHP,2946,KALYANISHP,sharp-india-ltd
ACFSL,3992,ACFSL,amrapali-capital-finance-services-ltd
NEELKAN,3453,NEELKAN,neelkanth-rock-minerals-ltd
MRIL,3212714,MRIL,mahendra-realtors-infrastructure-ltd
AEGISLOG,35,AEGISLOG,aegis-logistics-ltd
JINDAL,83051,JINDAL,jindal-leasefin-ltd
890234,3477518,890234,vertex-securities-ltd-partly-paidup
JEL,4231,JEL,jyotirgamya-enterprises-ltd
17200017,1512623,17200017,maple-infrastructure-trust
544080,1897652,544080,sayaji-hotels-indore-ltd
CUPID,3405,CUPID,cupid-ltd
PARMAX,82579,PARMAX,parmax-pharma-ltd
AVATAR,87771,AVATAR,avatar-industries-ltd
INDXTRA,3055,INDXTRA,iel-ltd
PRECISIO,2752,PRECISIO,precision-electronics-ltd
RAJGASES,3213,RAJGASES,rajasthan-securities-ltd
INOVSYNTH,3910,INOVSYNTH,innovassynth-technologies-india-ltd
RAMCOSYS,1105,RAMCOSYS,ramco-systems-ltd
15620065,3273760,15620065,om-metallogic-ltd
17152985,3023329,17152985,paradeep-parivahan-ltd
MAXIMUS,83059,MAXIMUS,maximus-international-ltd
STARCOM,3644,STARCOM,starcom-information-technology-ltd
VIJIFIN,4022,VIJIFIN,viji-finance-ltd
16691776,1065965,16691776,vedant-asset-ltd
UTSSAV,2475493,UTSSAV,utssav-cz-gold-jewels-ltd
EPWINDIA,3366460,EPWINDIA,epw-india-ltd
PHCAP,2038,PHCAP,p-h-capital-ltd
SIGNORIA,2119170,SIGNORIA,signoria-creation-ltd
TAPARIA,2237,TAPARIA,taparia-tools-ltd
PROGRESV,3524,PROGRESV,progrex-ventures-ltd
SAMTELTD,2079,SAMTELTD,samtel-india-ltd
KELENRG,2288,KELENRG,keltech-energies-ltd
PIONAGR,2814,PIONAGR,pioneer-agro-extracts-ltd
AVIPHOT,2993,AVIPHOT,avi-products-india-ltd
BRIPORT,4277,BRIPORT,brilliant-portfolios-ltd
PPL,148189,PPL,prakash-pipes-ltd
APEXECO,2803150,APEXECO,apex-ecotech-ltd
PGINDST,3533,PGINDST,marble-city-india-ltd
11290577,456782,11290577,jetmall-spices-and-masala-ltd
IYKOTHITE,2897,IYKOTHITE,iykot-hitech-toolroom-ltd
BBETF0432,748067,BBETF0432,edelweiss-bharat-bond-etf-april-2032
13193325,3367524,13193325,nanta-tech-ltd
INDSWFTLAB,621,INDSWFTLAB,ind-swift-laboratories-ltd
STOVEKRAFT,409322,STOVEKRAFT,stove-kraft-ltd
DIVYADHAN,2663456,DIVYADHAN,divyadhan-recycling-industries-ltd
INCON,3635,INCON,incon-engineers-ltd
RLFL,4055,RLFL,ramchandra-leasing-and-finance-ltd
VIPULLTD,1489,VIPULLTD,vipul-ltd
RAJRILTD,1097,RAJRILTD,raj-rayon-industries-ltd
SETL,2898836,SETL,standard-engineering-technology-ltd
16070372,1719925,16070372,vivaa-tradecom-ltd
INNOMET,2618331,INNOMET,innomet-advanced-materials-ltd
PANAFIC,4119,PANAFIC,panafic-industrials-ltd
SUPREMEENG,107255,SUPREMEENG,supreme-engineering-ltd
CAPRICORN,2541,CAPRICORN,capricorn-systems-global-solutions-ltd
DUKEOFS,3596,DUKEOFS,duke-offshore-ltd
RRKABEL,1681351,RRKABEL,r-r-kabel-ltd
SSFL,1550244,SSFL,srivari-spices-and-foods-ltd
DIFFNKG,2674303,DIFFNKG,diffusion-engineers-ltd
RIIT,3448665,RIIT,raajmarg-infra-investment-trust
AURUM,1762,AURUM,aurum-proptech-ltd
13192829,438982,13192829,adjia-technologies-ltd
SAAKSHI,1706792,SAAKSHI,saakshi-medtech-panels-ltd
MTEDUCARE,887,MTEDUCARE,mt-educare-ltd
BOROSCI,2330143,BOROSCI,borosil-scientific-ltd
INVPRECQ,2195,INVPRECQ,investment-precision-castings-ltd
CCAVENUE,1998,CCAVENUE,avenuesai-ltd
KREONFIN,3265,KREONFIN,kreon-finnancial-services-ltd
COLINZ,3500,COLINZ,colinz-laboratories-ltd
NINSYS,4369,NINSYS,nintec-systems-ltd
MONOLITH,3131699,MONOLITH,monolithisch-india-ltd
SMFIL,2628,SMFIL,smiths-founders-india-ltd
INDTONER,2958,INDTONER,indian-toners-developers-ltd
11625830,3265151,11625830,telge-projects-ltd
GJL,3416578,GJL,grover-jewells-ltd
GYTRIPA,2585,GYTRIPA,virya-resources-ltd
544166,2206008,544166,emmforce-autotech-ltd
MINFY,4258,MINFY,mahaveer-infoway-ltd
OMANSH,61511,OMANSH,pipan-oils-ltd
SOFTBPO,2180,SOFTBPO,idream-film-infrastructure-company-ltd
RIBATEX,3748,RIBATEX,riba-textiles-ltd
17160453,2486163,17160453,afcom-holdings-ltd
PIXTRANS,2072,PIXTRANS,pix-transmissions-ltd
SKMEGGPROD,1253,SKMEGGPROD,skm-egg-products-export-india-ltd
PALREDTEC,1781,PALREDTEC,palred-technologies-ltd
ONTIC,83112,ONTIC,ontic-finserve-ltd
TIRUPATIFL,87804,TIRUPATIFL,tirupati-forge-ltd
SHIVAUM,165687,SHIVAUM,shiv-aum-steels-ltd
ZSANMCOM,2524,ZSANMCOM,tandhan-industries-ltd
GEETANJ,4287,GEETANJ,geetanjali-credit-and-capital-ltd
SAKSOFT,1167,SAKSOFT,saksoft-ltd
RBA,357598,RBA,restaurant-brands-asia-ltd
PRADPME,2643,PRADPME,pradeep-metals-ltd
SHRIAHIMSA,3036052,SHRIAHIMSA,shri-ahimsa-naturals-ltd
TEAMTECH,3512726,TEAMTECH,teamtech-formwork-solutions-ltd
EXCELLENT,2597185,EXCELLENT,excellent-wires-packaging-ltd
ASTRAMICRO,123,ASTRAMICRO,astra-microwave-products-ltd
LTGILTCASE,3227841,LTGILTCASE,zerodha-nifty-8-13-yr-g-sec-etf
EBBETF0430,204264,EBBETF0430,edelweiss-bharat-bond-etf-april-2030
KANORICHEM,717,KANORICHEM,kanoria-chemicals-industries-ltd
CARNATIN,3358,CARNATIN,carnation-industries-ltd
SKFINDUS,3353111,SKFINDUS,skf-india-industrial-ltd
13110372,3520088,13110372,merritronix-ltd
TALBROAUTO,1347,TALBROAUTO,talbros-automotive-components-ltd
DHARFIN,2452,DHARFIN,dharani-finance-ltd
13150400,3388488,13150400,indo-smc-ltd
KRISHNACAP,4259,KRISHNACAP,krishna-capital-securities-ltd
PRIMECAPM,3962,PRIMECAPM,prime-capital-market-ltd
13560270,3183864,13560270,swastika-castal-ltd
GOLDTECH,485,GOLDTECH,aion-tech-solutions-ltd
ANANDRATHI,747241,ANANDRATHI,anand-rathi-wealth-ltd
VANDANA,3786,VANDANA,atvo-enterprises-ltd
SHARIKA,82642,SHARIKA,sharika-enterprises-ltd
STERSPN,3647,STERSPN,tejassvi-aaharam-ltd
RELAXO,1125,RELAXO,relaxo-footwears-ltd
13192882,644312,13192882,naapbooks-ltd
BLISSGVS,204,BLISSGVS,bliss-gvs-pharma-ltd
DAIKAFFI,3401,DAIKAFFI,daikaffil-chemicals-india-ltd
KMCSHIL,3037,KMCSHIL,kmc-speciality-hospitals-india-ltd
MANCREDIT,2253,MANCREDIT,mangal-credit-and-fincorp-ltd
EBBETF0433,1191837,EBBETF0433,edelweiss-bharat-bond-etf-april-2033
AVL,52912,AVL,aditya-vision-ltd
GRATEXI,3191,GRATEXI,gratex-industries-ltd
VADILALIND,1462,VADILALIND,vadilal-industries-ltd
UCAL,1438,UCAL,ucal-ltd
ORIENTHOT,986,ORIENTHOT,oriental-hotels-ltd
BGIL,2483,BGIL,bgil-films-technologies-ltd
VISCO,82588,VISCO,gamco-ltd
NRL,750562,NRL,nupur-recyclers-ltd
BIKEWO,2640250,BIKEWO,bikewo-green-tech-ltd
14095540,1305967,14095540,dharni-capital-services-ltd
