URL,HTTP Method,Provider / Domain,Code Sources / References
https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w?pageno=${pg},GET,BSE India,newsSentimentService.ts:401
https://www.bseindia.com/,GET,BSE India,newsSentimentService.ts:410
https://www.bseindia.com/corporates/ann.html?newsid=${a.NEWSID},GET,BSE India,newsSentimentService.ts:451
https://economictimes.indiatimes.com,GET,Economic Times / IndiaTimes,etnow.ts:101
https://economictimes.indiatimes.com/,POST,Economic Times / IndiaTimes,etnow.ts:98
https://economictimes.indiatimes.com/markets/stocks/rss.cms,GET,Economic Times / IndiaTimes,newsSentimentService.ts:80
https://economictimes.indiatimes.com/news/economy/rss.cms,GET,Economic Times / IndiaTimes,newsSentimentService.ts:81
https://economictimes.indiatimes.com/viewandrecofeed.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:924
https://etmarketsapis.indiatimes.com/ET_Stats/${type}?pagesize=25&marketcap=largecap%2Cmidcap%2Csmallcap&duration=${encodeURIComponent(duration)}&sort=intraday&sortby=percentchange&sortorder=desc,GET,Economic Times / IndiaTimes,marketData.ts:238
https://etmarketsapis.indiatimes.com/ET_Stats/marketBand?exchange=NSE&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:920
https://etmarketsapis.indiatimes.com/ET_Stats/mostActiveByValue?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:886
https://etmarketsapis.indiatimes.com/ET_Stats/mostActiveByVolume?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:888
https://etmarketsapis.indiatimes.com/ET_Stats/pennyStocks?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:890
https://etmarketsapis.indiatimes.com/ET_Stats/sectorPerformance?exchange=NSE&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:911
https://etmarketsapis.indiatimes.com/ET_Stats/topGainers?exchange=NSE&count=20&flag=1&mktcap=0,GET,Economic Times / IndiaTimes,explore_mc_tl.py:882
https://etmarketsapis.indiatimes.com/ET_Stats/topLosers?exchange=NSE&count=20&flag=1&mktcap=0,GET,Economic Times / IndiaTimes,explore_mc_tl.py:884
https://etmarketsapis.indiatimes.com/ET_Stats/trendingStocks?mktcap=0&exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:876
https://etmarketsapis.indiatimes.com/ET_Stats/weekHigh52?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:878
https://etmarketsapis.indiatimes.com/ET_Stats/weekLow52?exchange=NSE&count=20&flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:880
https://etmarketsapis.indiatimes.com/ET_TechnicalScreeners/topTrendingScreeners?exchangeId=50&pageNumber=1&pageSize=6&innerPageSize=3,GET,Economic Times / IndiaTimes,marketData.ts:183
https://json.bselivefeeds.indiatimes.com/ET_Community/companypagedata?companyid=${map.companyid}&companytype=,GET,Economic Times / IndiaTimes,"marketData.ts:23, marketData.ts:72"
https://json.bselivefeeds.indiatimes.com/ET_Community/getIndexSummary.cms?indexId={_ET_INDEX_ID},GET,Economic Times / IndiaTimes,explore_mc_tl.py:872
https://json.bselivefeeds.indiatimes.com/ET_Community/getcategorylist.cms?flag=industry&eid=12,GET,Economic Times / IndiaTimes,explore_mc_tl.py:868
https://json.bselivefeeds.indiatimes.com/ET_Community/getcategorylist.cms?flag=sector,GET,Economic Times / IndiaTimes,explore_mc_tl.py:870
https://marketservices.indiatimes.com/markets/api/companydetails/v4/companydetails.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:915
https://marketservices.indiatimes.com/markets/api/shareholding/v4/shareholding.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:858
https://marketservices.indiatimes.com/marketservices/mf_holding?companyid=${map.companyid},GET,Economic Times / IndiaTimes,marketData.ts:220
https://marketservices.indiatimes.com/marketservices/shareholding?companyid=${map.companyid},GET,Economic Times / IndiaTimes,marketData.ts:60
https://mfapps.indiatimes.com/ET_Mutual_Funds/pages/mftools/MFPortfolioHolding.cms,GET,Economic Times / IndiaTimes,explore_mc_tl.py:863
https://sas.indiatimes.com/ET_Community/getBSEMarketJSON.cms?flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:894
https://sas.indiatimes.com/ET_Community/getNSEMarketJSON.cms?flag=1,GET,Economic Times / IndiaTimes,explore_mc_tl.py:896
https://sas.indiatimes.com/ET_Community/getTechScreenerJSON.cms,GET,Economic Times / IndiaTimes,"explore_mc_tl.py:900, explore_mc_tl.py:906"
https://screener.indiatimes.com/screener/v2/screenerByScreenerIdForWeb,GET,Economic Times / IndiaTimes,etnow.ts:81
https://api.gdeltproject.org/api/v2/doc/doc?query=${q},GET,GDELT Project,gdeltService.ts:39
https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId=${scId}&type=ed&deviceType=W,GET,MoneyControl,"insightService.ts:136, mcApiService.ts:398"
https://api.moneycontrol.com/mcapi/extdata/v2/mc-essentials?scId={sc_id}&type=ed&deviceType=W,GET,MoneyControl,explore_mc_tl.py:389
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=${scId}&type=c&deviceType=W&appVersion=185,GET,MoneyControl,"insightService.ts:137, mcApiService.ts:463, moneycontrolService.ts:73"
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId=${scId}&type=d&deviceType=W&appVersion=185,GET,MoneyControl,mcApiService.ts:491
https://api.moneycontrol.com/mcapi/extdata/v2/mc-insights?scId={sc_id}&type=c&deviceType=W&appVersion=185,GET,MoneyControl,explore_mc_tl.py:390
https://api.moneycontrol.com/mcapi/technicalpicks/chart-patterns?deviceType=W&version=174&start=0&limit=12&pattern_type=all&sc_id=${scId},GET,MoneyControl,mcApiService.ts:671
https://api.moneycontrol.com/mcapi/technicals/v2/analysis?scId=${scId}&dur=${dur}&fields=all&deviceType=W&appVersion=189,GET,MoneyControl,mcApiService.ts:611
